"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Secondary Sci Ed","290
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","21","3.800","71.4","9.5","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","46","3.889","82.6","8.7","6.5",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","313
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
322","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art","Course Total","","70","3.957","92.9","5.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340
002","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ Practicum One","Course Total","","54","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching World Languages(6-12)","343
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","25","3.800","80.0","8.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Music","Course Total","","73","3.904","87.7","8.2","1.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","","32","3.938","90.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
001","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
002","","27","3.852","85.2",".","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","Course Total","","54","3.907","90.7",".","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","367
002","","25","",".",".",".",".",".",".",".",".",".","96.0","4.0",".",".",".",".","."
"","367
003","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum II","Course Total","","55","",".",".",".",".",".",".",".",".",".","96.4","3.6",".",".",".",".","."
"","368
001","","28","3.911","89.3","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","28","3.821","85.7",".","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
