"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","81","4.000","22.2",".",".",".",".",".",".","75.3",".",".",".",".","2.5",".",".","."
"Vet Diag&Therapeut Techniq","625
001","78","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","81","3.321","22.2","29.6","40.7","4.9","2.5",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","79","3.234","21.5","19.0","49.4","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","16","4.000","68.8",".",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","27","4.000","40.7",".",".",".",".",".",".","59.3",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","25","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","670
001","47","3.769","25.5",".",".",".",".","2.1",".","72.3",".",".",".",".",".",".",".","."
"","670
002","6","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","53","3.800","26.4",".",".",".",".","1.9",".","71.7",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","23","4.000","39.1",".",".",".",".",".",".","60.9",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","51","4.000","27.5",".",".",".",".",".",".","72.5",".",".",".",".",".",".",".","."
"","675
001","38","4.000","39.5",".",".",".",".",".",".","60.5",".",".",".",".",".",".",".","."
"","675
004","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","675
008","32","4.000","6.3",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","."
"","675
009","79","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"","675
010","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","675
011","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","75","",".",".",".",".",".",".",".","97.3",".",".",".",".","2.7",".",".","."
"","675
021","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
024","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","462","4.000","13.2",".",".",".",".",".",".","85.9",".",".",".",".","0.9",".",".","."
"","678
001","44","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","678
002","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","50","4.000","76.0",".",".",".",".",".",".","24.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","24","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 394 of 403",""
