"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Radio,TV&Film as Mass Media","250","001","234","3.109","12.8","33.8","26.9","17.1","7.7","1.3",".","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","151","3.209","7.3","45.0","33.1","12.6","1.3","0.7",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262","001","92","3.060","8.7","37.0","30.4","14.1","5.4","1.1","2.2","1.1",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","107","3.350","22.4","35.5","33.6","6.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","93","3.452","32.3","38.7","21.5","4.3","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Honors Seminar in Com Arts","288","001","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","101","2.931","14.9","16.8","33.7","16.8","14.9","2.0","1.0",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","98","3.316","18.4","41.8","32.7","3.1","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","154","3.234","13.6","42.2","31.2","8.4","2.6","1.3","0.6",".",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","159","3.085","12.6","34.0","29.6","11.9","10.1","0.6","1.3",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","99","2.995","11.1","24.2","33.3","17.2","11.1","2.0",".","1.0",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","101","3.277","18.8","43.6","22.8","7.9","5.9",".","1.0",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360","001","123","3.380","33.3","30.9","26.0","3.3","2.4",".","2.4","0.8",".",".",".",".",".","0.8",".","."
"Thry&Practice of Persuasion","368","001","104","3.389","22.1","41.3","30.8","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371","001","62","3.669","45.2","46.8","4.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","64","3.119","18.8","20.3","32.8","18.8","7.8",".",".",".",".",".",".",".",".","1.6",".","."
"Rhetrc-African Am Discourse","378","001","25","3.520","36.0","36.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","32","3.000","6.3","6.3","78.1",".","9.4",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","52","2.971","15.4","1.9","57.7","11.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","12","3.417","58.3","8.3","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","21","3.381","23.8","47.6","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","21","2.929","19.0","9.5","47.6","4.8","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","33","3.788","78.8","18.2",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","16","3.438","31.3","25.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media, Deliberatn & Public Iss","525","001","15","3.192","20.0","13.3","33.3","20.0",".",".",".",".",".",".",".",".","6.7","6.7",".","."
"Thry-Deliberation&Controversy","562","001","13","3.667","53.8","15.4","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Communictn&Interethnc Behav","565","001","39","3.513","35.9","35.9","25.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","610","001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","610","003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","38","3.697","60.5","21.1","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","612","001","13","3.625","53.8","23.1","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","613","000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","002","42","3.190","21.4","23.8","35.7","14.3","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","613","003","16","3.500","43.8","25.0","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","61","3.297","29.5","23.0","31.1","13.1","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
