"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Fld Proj-Lib&Info Agencies","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","626
002","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Early Childhood Education","660
001","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem School Curriculum","662
001","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Learning 2nd Lang & Literacies","673
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","675
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","13","3.929","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
010","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
675","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","133","3.986","96.2","2.3","0.8",".",".",".",".",".",".",".",".",".",".",".","0.8","."
"","690
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
031","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
053","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
068","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","61","4.000","98.4",".",".",".",".",".",".",".",".",".",".","1.6",".",".",".","."
"School Practicum in Com Dis","692
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 83 of 403"
