"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","235","3.060","28.9","10.2","36.2","5.1","13.2","4.3","1.3","0.9",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615
001","43","3.244","30.2","11.6","37.2","18.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","105","3.219","26.7","17.1","32.4","22.9",".","1.0",".",".",".",".",".",".",".",".",".","."
"Government Insurance Progs","625
001","13","3.346","46.2","23.1","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","42","3.646","47.6","31.0","19.0",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","799
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
224","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","Course Total","5","***","","","","","","","","","","","","","","","",""
"Adv Topics in Risk Management","820
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","463","3.205","32.2","13.8","31.7","9.5","7.1","2.4","0.9","1.7",".",".",".",".",".",".","0.6","."
