"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
013","16","3.000","25.0","12.5","25.0","12.5","12.5","6.3",".","6.3",".",".",".",".",".",".",".","."
"","226
014","12","2.667","8.3","25.0","33.3","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"","226
015","19","3.368","21.1","31.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","15","3.367","40.0","13.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","226
017","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","226
018","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","16","3.406","50.0","6.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
020","18","3.361","22.2","38.9","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
021","15","3.300","33.3","20.0","33.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","226
022","19","3.088","10.5","10.5","57.9","5.3","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","361","3.242","25.5","22.4","34.9","8.0","6.9","0.6","0.3","1.4",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","37","3.554","51.4","18.9","21.6","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"","311
001","22","3.364","31.8","31.8","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","311
002","23","3.413","26.1","30.4","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","20","3.500","45.0","20.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311
004","19","3.158","10.5","26.3","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","20","3.425","40.0","20.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
311","21","2.800","19.0","9.5","33.3","9.5","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"","311
007","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","20","2.825","5.0","10.0","50.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","311
009","21","3.524","38.1","28.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
011","20","3.100","10.0","35.0","35.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","225","3.346","33.8","23.1","30.2","5.8","5.8","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","22","3.857","77.3","13.6",".","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","320
001","24","3.063","29.2","16.7","25.0","20.8",".","4.2","4.2",".",".",".",".",".",".",".",".","."
"","320
002","23","3.174","17.4","30.4","39.1","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","320
003","23","2.717","17.4","17.4","21.7","13.0","17.4","8.7","4.3",".",".",".",".",".",".",".",".","."
"","320
004","25","3.480","56.0","24.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","95","3.116","30.5","22.1","21.1","9.5","10.5","4.2","2.1",".",".",".",".",".",".",".",".","."
"","322
001","26","3.519","61.5","7.7","19.2","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","322
002","22","3.614","54.5","22.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","24","3.354","25.0","33.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","72","3.493","47.2","20.8","20.8","8.3","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","324
001","23","3.152","34.8","13.0","34.8",".","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","324
002","24","3.063","8.3","29.2","33.3","25.0","4.2",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","47","3.106","21.3","21.3","34.0","12.8","8.5",".","2.1",".",".",".",".",".",".",".",".","."
"Advanced Conversation","325
001","23","3.250","34.8","21.7","17.4","8.7","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"","326
001","25","3.760","72.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","23","2.978","34.8","17.4","13.0","4.3","17.4","13.0",".",".",".",".",".",".",".",".",".","."
"","326
003","22","3.614","63.6","9.1","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","70","3.457","57.1","11.4","17.1","2.9","7.1","4.3",".",".",".",".",".",".",".",".",".","."
"","327
001","19","2.972","21.1","26.3","21.1",".","21.1",".","5.3","5.3",".",".",".",".",".",".",".","."
"","327
002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
003","20","3.500","55.0","15.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 307 of 403",""
