"","990
031","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","18","",".",".",".",".",".",".",".","83.3","",".",".",".","16.7",".",".",".","."
"Independent Study","999
028","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"THEATRE
942","Dept. Total","1115","3.648","65.6","15.8","9.4","2.2","2.2","0.4","1.5","2.3","",".","0.2",".","0.3","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","159","3.622","64.8","17.6","9.4","2.5","3.8","0.6","1.3",".","",".",".",".",".",".",".",".","."
"Sophomore","","235","3.735","70.2","19.1","7.2","0.9","1.7",".","0.9",".","",".",".",".",".",".",".",".","."
"Junior","","223","3.620","63.7","18.8","10.8","1.8","2.2","0.4","1.8","0.4","",".",".",".",".",".",".",".","."
"Senior","","307","3.526","60.6","15.0","13.4","3.9","2.3","0.7","2.0","2.0","",".",".",".",".",".","0.3",".","."
"Undergraduates","","924","3.622","64.5","17.4","10.5","2.4","2.4","0.4","1.5","0.8","",".",".",".",".",".","0.1",".","."
"Special","","7","3.800","57.1",".","14.3",".",".",".",".","28.6","",".",".",".",".",".",".",".","."
"Graduate","","184","3.790","71.2","8.2","3.8","1.1","1.1",".","1.6","9.2","",".","1.1",".","1.6","0.5","0.5",".","."
"","Dept. Total","1115","3.648","65.6","15.8","9.4","2.2","2.2","0.4","1.5","2.3","",".","0.2",".","0.3","0.1","0.2",".","."
