"TRANSPORTATION AND PUBLIC Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"646
001
Logistics Strategies","","11","3.727","54.5","36.4","9.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"TRAN P U
Dept. Total
243","","11","3.727","54.5","36.4","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","6","3.583","33.3","50.0","16.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","3.875","75.0","25.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","11","3.727","54.5","36.4","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
