"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","78","2.936","17.9","14.1","25.6","26.9","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","101
002","76","2.934","21.1","21.1","25.0","10.5","15.8","2.6","3.9",".",".",".",".",".",".",".",".","."
"","101
003","52","2.865","9.6","21.2","30.8","13.5","23.1","1.9",".",".",".",".",".",".",".",".",".","."
"","101
004","78","2.812","16.7","11.5","26.9","15.4","23.1","5.1",".",".",".",".",".",".",".","1.3",".","."
"","101
005","76","2.849","18.4","11.8","36.8","10.5","14.5","3.9","3.9",".",".",".",".",".",".",".",".","."
"","101
006","86","3.341","36.0","19.8","24.4","12.8","5.8",".",".",".",".",".",".",".",".","1.2",".","."
"Introduction to Philosophy","Course Total","446","2.968","20.9","16.4","28.0","15.0","15.2","2.7","1.3",".",".",".",".",".",".","0.4",".","."
"Intro to Social Philosophy","102
001","45","3.202","15.6","24.4","40.0","8.9","4.4",".",".","4.4",".",".",".",".",".",".",".","2.2"
"Intro to Philos for Jr & Sr","201
001","40","3.090","25.0","20.0","22.5","17.5","7.5","5.0",".","2.5",".",".",".",".",".",".",".","."
"Reason in Communication","001
210","83","2.927","14.5","19.3","31.3","16.9","13.3","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"","001
211","58","3.353","29.3","34.5","20.7","8.6","6.9",".",".",".",".",".",".",".",".",".",".","."
"","211
002","75","2.933","16.0","18.7","38.7","10.7","9.3","2.7","4.0",".",".",".",".",".",".",".",".","."
"","211
003","40","2.763","20.0","17.5","25.0","10.0","17.5",".","10.0",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","173","3.035","21.4","23.7","29.5","9.8","10.4","1.2","4.0",".",".",".",".",".",".",".",".","."
"","241
001","80","3.032","7.5","12.5","65.0","6.3","7.5",".",".",".",".",".",".",".",".","1.3",".","."
"","241
002","79","2.890","12.7","10.1","36.7","19.0","19.0",".",".","2.5",".",".",".",".",".",".",".","."
"","241
003","76","2.724","11.8","18.4","30.3","10.5","19.7","3.9","5.3",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","235","2.884","10.6","13.6","44.3","11.9","15.3","1.3","1.7","0.9",".",".",".",".",".","0.4",".","."
"","001
341","154","3.553","42.2","35.7","16.2","1.9","1.3","0.6","0.6","1.3",".",".",".",".",".",".",".","."
"","341
002","100","3.380","26.0","36.0","28.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","003
341","122","3.288","17.2","36.9","35.2","6.6","1.6",".","0.8","1.6",".",".",".",".",".",".",".","."
"","341
091","18","3.333","16.7","50.0","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","092
341","19","3.289","26.3","21.1","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","17","3.324","5.9","64.7","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","094
341","15","3.000","33.3","13.3","20.0","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","341
095","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","465","3.409","29.9","35.7","25.2","5.4","2.2","0.2","0.6","0.9",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","45","3.156","17.8","28.9","35.6","11.1","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","50","3.060","20.0","34.0","24.0","6.0","10.0",".","6.0",".",".",".",".",".",".",".",".","."
"","441
001","76","3.368","39.5","22.4","19.7","9.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"","441
002","18","3.222","11.1","27.8","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","Course Total","94","3.340","34.0","23.4","26.6","8.5","7.4",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Logic","512
001","24","3.563","50.0","37.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","18","3.167","33.3","44.4",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","16","3.467","18.8","56.3","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"Philos Concepts-Tch&Learng","545
001","10","3.300","50.0","20.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Issues in Social Philosophy","557
001","28","3.074","25.0","10.7","39.3","10.7","7.1",".","3.6",".",".",".",".",".",".",".",".","3.6"
"Ethical Probs-Biomed Tech","001
558","33","3.210","30.3","30.3","12.1","15.2",".",".","6.1","3.0",".",".",".",".",".","3.0",".","."
"Philosophy of Law","559
001","30","3.018","13.3","26.7","30.0","10.0","10.0",".","3.3","6.7",".",".",".",".",".",".",".","."
"Directed Study","598
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 263 of 375",""
