"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","209","3.151","28.2","20.1","26.8","11.5","6.2","4.3","1.0","1.9",".",".",".",".",".",".",".","."
"","300
002","196","3.044","23.0","20.4","27.0","13.8","9.2","5.6","0.5","0.5",".",".",".",".",".",".",".","."
"","003
300","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","414","3.117","27.1","20.0","26.3","12.3","7.5","4.8","0.7","1.2",".",".",".",".",".",".",".","."
"","305
001","52","2.882","28.8","7.7","13.5","19.2","25.0","1.9","1.9",".",".",".",".",".",".","1.9",".","."
"","002
305","72","2.993","29.2","5.6","23.6","29.2","6.9","5.6",".",".",".",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","126","2.960","29.4","7.1","19.0","24.6","14.3","4.0","0.8",".",".",".",".",".",".","0.8",".","."
"Contemporary Topics","365
001","7","3.071","14.3","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","399
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","11","3.889","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","37","3.500","27.0","48.6","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","35","3.500","31.4","42.9","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","72","3.500","29.2","45.8","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","421
001","32","3.234","25.0","28.1","31.3","6.3","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"","421
002","14","3.179","35.7","7.1","50.0",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Mgt:Decisn,Implmntatn&Cntrl","Course Total","46","3.217","28.3","21.7","37.0","4.3","4.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","25","3.682","48.0","24.0","16.0",".",".",".",".","12.0",".",".",".",".",".",".",".","."
"","423
001","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","33","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Policy","Course Total","59","3.763","62.7","27.1","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","35","3.443","42.9","17.1","31.4","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","001
612","36","3.083","13.9","30.6","25.0","19.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"","700
001","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","27","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","48","3.740","62.5","22.9","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","20","3.658","50.0","25.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","15","3.538","40.0","13.3","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".","6.7"
"Sm Bus Mgmt/Entrepreneurshp","Course Total","40","3.684","52.5","25.0","17.5",".",".",".",".","2.5",".",".",".",".",".",".",".","2.5"
"","001
723","32","3.844","71.9","25.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","35","3.814","71.4","20.0","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
723","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy & Policy","Course Total","84","3.851","75.0","20.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","001
724","22","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","725
001","39","3.577","35.9","43.6","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","30","3.417","20.0","43.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
