"","990
037","6","4.000","66.7",".",".",".","",".",".","",".","","33.3",".","",".",".","",".",".","",".",".","."
"","990
039","4","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","3","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","42","3.803","57.1","7.1","4.8",".","",".","",".","",".","23.8","",".",".","",".","7.1","",".",".",".","."
"ONCOLOGY
700","Dept. Total","104","3.825","64.4","6.7","3.8",".","",".","",".","",".","22.1","",".",".","",".","2.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","9","3.864","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","12","3.906","75.0","25.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","97","3.809","58.8","4.1","4.1",".","",".","",".","",".","29.9","",".",".","",".","3.1","",".",".",".","."
"Prof Yr 2","","4","4.000","25.0",".",".",".","",".","",".","",".","75.0","",".",".","",".",".","",".",".",".","."
"Professionals","","4","4.000","25.0",".",".",".","",".","",".","",".","75.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","113","3.825","59.3","6.2","3.5",".","",".","",".","",".","28.3","",".",".","",".","2.7","",".",".",".","."
