"","990
022","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
025","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
032","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","147","3.168","34.7","17.7","19.0","9.5","13.6","2.7","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","34","2.805","20.6","11.8","20.6","17.6","23.5","5.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","46","3.149","32.6","15.2","21.7","13.0","17.4",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","46","3.247","32.6","28.3","21.7","4.3","8.7","4.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","127","3.094","29.9","18.9","21.3","11.0","15.7","3.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","17","3.885","64.7","5.9","5.9",".",".",".","",".","23.5","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","147","3.168","34.7","17.7","19.0","9.5","13.6","2.7","",".","2.7","",".",".","",".","",".","",".",".",".","."
