"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"","994
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","994
035","","6","3.833","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","994
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","994
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","994
045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research-Inorganic","Course Total","","37","3.967","62.2","2.7",".",".",".",".",".","29.7",".",".",".","5.4",".",".",".","."
"","995
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","995
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","042
995","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"Rsch-Macromolecular Chem","Course Total","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".",".","."
