"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2619","3.333","29.7","11.6","16.5","3.3","3.7","0.2","",".","34.9","",".",".",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","7","3.600","42.9",".","14.3",".",".",".","",".","42.9","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","593","3.314","19.9","19.9","29.3","4.4","2.4","0.2","",".","23.9","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","623","3.401","29.5","12.5","19.1","5.1","2.9",".","",".","30.8","",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","661","3.010","21.6","16.3","21.0","4.4","9.8","0.5","",".","26.3","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","733","3.985","44.6",".",".",".",".","0.3","",".","55.1","",".",".",".","",".","",".",".",".","."
"Professionals","","2610","3.332","29.6","11.6","16.6","3.3","3.7","0.2","",".","34.9","",".",".",".","",".","",".",".",".","."
"","College Total","2619","3.333","29.7","11.6","16.5","3.3","3.7","0.2","",".","34.9","",".",".",".","",".","",".",".",".","."
