"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"415
Contemp Fem Theatre&Critcsm","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Musical Performnc for Actor","001","","30","3.879","76.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"462
Thtr-Yng Audiences:Productn","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Fundamntl-Technical Directn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"472
Scenic Painting","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"538
Brit Drama, 1914 to Present","001","","20","3.289","40.0","15.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","5.0"
"541
Shakespeare in Performance","001","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Asian Theatre Production","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","6","3.850","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","16","3.950","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Adv Study-Theatre Dsgn&Tech","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Shakespeare Smr:Thry&Pract","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Smr-Probs in Theatre&Drama","001","","14","3.592","28.6","50.0","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"970
Dsgn & Technlgy Core Curric","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","10","4.000","50.0",".",".",".",".",".",".","40.0",".",".",".","10.0",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","32","3.923","68.8","6.3","3.1",".",".",".",".","12.5",".",".",".","9.4",".",".",".","."
