"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","217","3.496","25.3","14.3","20.7","8.8","3.2","",".","",".","24.0","",".",".","",".","3.2","",".",".",".","0.5"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","14","3.200","14.3","21.4","42.9","21.4",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","26","3.180","11.5","30.8","34.6","19.2",".","",".","",".",".","",".",".","",".",".","",".",".",".","3.8"
"Senior","59","3.055","11.9","18.6","37.3","18.6","11.9","",".","",".","1.7","",".",".","",".",".","",".",".",".","."
"Undergraduates","99","3.106","12.1","22.2","37.4","19.2","7.1","",".","",".","1.0","",".",".","",".",".","",".",".",".","1.0"
"Special","15","3.294","6.7","40.0","33.3",".",".","",".","",".","20.0","",".",".","",".",".","",".",".",".","."
"Graduate","103","3.882","40.8","2.9","2.9",".",".","",".","",".","46.6","",".",".","",".","6.8","",".",".",".","."
"Dept. Total","217","3.496","25.3","14.3","20.7","8.8","3.2","",".","",".","24.0","",".",".","",".","3.2","",".",".",".","0.5"
