"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","90","3.067","15.6","24.4","34.4","13.3","7.8","3.3",".","1.1",".",".",".",".",".",".",".","."
"Directed Study","199","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","55","3.093","9.1","32.7","47.3","3.6",".","1.8","3.6",".",".",".",".",".",".","1.8",".","."
"Intro to Afro-Am History","231","001","123","3.340","36.6","23.6","21.1","8.1","4.1","2.4","0.8","3.3",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","89","3.528","38.2","37.1","16.9","4.5","2.2",".",".",".",".",".",".",".",".","1.1",".","."
"Latin America-Introduction","260","001","7","3.429","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Economics of Black America","261","001","12","2.250","8.3","16.7","25.0","8.3",".",".","25.0","8.3","8.3",".",".",".",".",".",".","."
"Intro Lit Rel:Afr Diaspora","262","001","91","3.315","26.4","29.7","25.3","12.1","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Intro Lit: 1930s to Present","268","001","95","3.232","32.6","22.1","23.2","11.6","7.4","2.1","1.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","46","3.548","39.1","28.3","19.6","2.2","2.2",".",".","2.2",".",".",".",".",".",".",".","6.5"
"Blacks, Film, and Society","303","001","26","2.958","19.2","19.2","23.1","19.2",".","11.5",".","7.7",".",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311","001","20","3.154","15.0","30.0","30.0","5.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Hist Afro-Am Upper Midwest","430","001","34","3.152","26.5","20.6","29.4","8.8","5.9","5.9",".",".",".",".",".",".",".","2.9",".","."
"Race,Gendr,Ethn-Labor Markt","460","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","30","3.293","26.7","23.3","26.7","20.0",".",".",".","3.3",".",".",".",".",".",".",".","."
"Smr:Afro-Am Music Hist&Crit","509","001","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","14","3.036","28.6","7.1","35.7","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","17","2.471","5.9","5.9","17.6","17.6","52.9",".",".",".",".",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","15","3.400","66.7","6.7",".","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Colloq in Afro-Am History","631","001","13","2.962","30.8","7.7","23.1",".","38.5",".",".",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","636","001","32","3.000","12.5","37.5","31.3","6.3","3.1","3.1","6.3",".",".",".",".",".",".",".",".","."
"Topics-Multicultrl Amer Lit","662","001","14","3.750","71.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","20","3.575","75.0",".","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","674","001","9","3.056","44.4","11.1","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","674","002","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","","Course Total","15","3.233","46.7","20.0","13.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","691","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","10","3.239","80.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","699","022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","18","3.370","66.7",".","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 157 of 375",""
