"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","",""
"MED","College Total","6264","3.575","49.6","17.7","18.8","2.0","2.6","0.7","0.2","7.7","",".","0.2",".","0.2","",".","0.0","0.1","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","128","3.173","4.7","57.0","29.7","0.8","2.3","5.5",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","158","3.207","36.1","18.4","25.3","7.6","7.0","5.1","0.6",".","",".",".",".",".","",".",".",".","."
"Junior","","463","3.300","31.1","24.8","28.5","6.9","6.3","1.3","0.9","0.2","",".",".",".",".","",".",".",".","."
"Senior","","1097","3.318","33.3","25.0","26.4","5.8","6.5","1.6","0.3","1.0","",".",".",".",".","",".",".","0.1","."
"Undergraduates","","1846","3.294","31.0","26.6","27.1","5.9","6.2","2.1","0.4","0.7","",".",".",".",".","",".",".","0.1","."
"Special","","129","3.268","31.0","17.8","20.2","3.1","1.6","1.6","3.1","7.8","",".","3.1",".",".","",".","1.6","5.4","3.9"
"Graduate","","1079","3.765","60.5","14.4","7.4","1.0","0.4","0.1","0.1","14.2","",".","1.0",".","0.9","",".",".",".","."
"Prof Yr 1","","762","3.770","67.6","0.4","21.8",".","1.3",".",".","8.9","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","1235","3.619","60.5",".","25.3","0.1","2.3",".","0.1","11.7","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","674","3.643","45.0","43.5","8.9","0.1","0.7",".",".","1.3","",".",".",".",".","",".",".","0.1","0.3"
"Prof Yr 4","","557","3.765","49.9","25.7","6.3","0.4",".",".",".","17.8","",".",".",".",".","",".",".",".","."
"Professionals","","3228","3.690","57.1","13.6","17.8","0.1","1.4",".","0.0","9.9","",".",".",".",".","",".",".","0.0","0.1"
"","College Total","6282","3.575","49.5","17.6","18.8","2.0","2.6","0.7","0.2","7.9","",".","0.2",".","0.2","",".","0.0","0.1","0.1"
