"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","267","3.153","16.9","21.3","44.2","10.1","4.5","0.4","0.7","1.1",".",".",".",".",".","0.7",".","."
"","198
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
051","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
112","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
117","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","30","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","300
001","20","3.225","30.0","25.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
300","21","3.570","42.9","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","21","3.625","42.9","38.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","21","3.362","23.8","38.1","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","300
005","23","3.217","13.0","39.1","30.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
006","23","3.714","56.5","30.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","23","3.352","21.7","43.5","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","17","3.559","29.4","58.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","18","3.333","27.8","22.2","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","21","3.429","33.3","23.8","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","19","3.593","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","20","2.975",".","20.0","60.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","247","3.414","30.0","34.8","25.1","8.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","301
001","162","2.847","16.7","14.8","34.0","4.3","21.6","6.8","0.6","1.2",".",".",".",".",".",".",".","."
"","301
002","225","2.889","15.6","14.2","36.4","8.9","20.9","3.6","0.4",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","387","2.871","16.0","14.5","35.4","7.0","21.2","4.9","0.5","0.5",".",".",".",".",".",".",".","."
"","302
001","56","3.598","53.6","23.2","12.5","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","56","3.438","41.1","21.4","23.2","12.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","112","3.518","47.3","22.3","17.9","11.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"","303
001","133","3.350","39.8","27.1","13.5","9.8","7.5","0.8","1.5",".",".",".",".",".",".",".",".","."
"","303
002","121","3.202","31.4","25.6","14.9","16.5","7.4","4.1",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","254","3.280","35.8","26.4","14.2","13.0","7.5","2.4","0.8",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","304
001","89","3.258","32.6","27.0","18.0","11.2","7.9","3.4",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Rdg & Rsch-Business Rsch","399
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
