"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","203
006","14","3.393","21.4","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","17","3.265","17.6","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","61","3.344","18.0","41.0","32.8","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"","207
001","242","3.171","15.7","28.5","34.7","16.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","207
002","253","3.245","17.4","35.2","32.0","13.0","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"","207
003","239","3.264","14.6","35.1","41.4","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Lit, I","Course Total","734","3.227","15.9","33.0","36.0","11.9","3.0",".","0.3",".",".",".",".",".",".",".",".","."
"","208
001","125","3.121","19.2","20.0","40.0","13.6","4.0","0.8","1.6",".",".",".",".",".",".","0.8",".","."
"","208
002","144","3.220","18.8","27.1","37.5","11.1","4.9",".",".",".",".",".",".",".",".","0.7",".","."
"","208
003","210","3.130","14.8","27.6","40.0","10.5","3.8","0.5","1.9",".",".",".",".",".",".","1.0",".","."
"","004
208","37","3.649","45.9","40.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Modern Lit, II","Course Total","516","3.190","19.2","26.6","37.2","10.9","3.9","0.4","1.2",".",".",".",".",".",".","0.8",".","."
"","215
001","34","2.788","17.6","20.6","35.3","2.9","5.9","2.9","11.8",".",".",".",".",".",".","2.9",".","."
"","002
215","91","3.280","14.3","42.9","30.8","8.8","3.3",".",".",".",".",".",".",".",".",".",".","."
"","215
003","35","2.700","11.4","17.1","22.9","20.0","20.0","5.7","2.9",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","160","3.087","14.4","32.5","30.0","10.0","7.5","1.9","3.1",".",".",".",".",".",".","0.6",".","."
"","216
001","35","3.206","20.0","17.1","45.7","11.4","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"","003
216","70","3.057","12.9","20.0","45.7","14.3","5.7",".","1.4",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","Course Total","105","3.097","15.2","19.0","45.7","13.3","4.8",".","1.0","1.0",".",".",".",".",".",".",".","."
"American Lit 1620-Present","217
003","72","3.366","33.3","34.7","20.8","4.2","1.4","1.4","2.8","1.4",".",".",".",".",".",".",".","."
"Shakespearean Drama","220
001","178","2.575","6.2","7.9","35.4","14.0","26.4","3.9","3.4","1.7",".",".",".",".",".","0.6",".","0.6"
"V Nabokov: Russ&Amer Writng","223
001","18","3.639","72.2","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","13","3.615","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","001
300","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","18","3.750","88.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","34","3.618","61.8","20.6","11.8","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"","001
301","12","3.500","50.0","33.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","002
301","16","3.344","31.3","31.3","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","301
003","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","40","3.500","47.5","27.5","17.5","2.5",".","5.0",".",".",".",".",".",".",".",".",".","."
"","302
001","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","Course Total","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","13","3.692","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","307
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","Course Total","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309
001","13","3.462","61.5","15.4","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Beowulf","322
001","13","3.636","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".","15.4",".","."
"Appl Eng Linguistics-Tchrs","325
001","14","3.393","35.7","50.0","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328
001","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 200 of 375",""
