"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INFO SYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","16","3.563","43.8","25.0","31.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","60","3.364","26.7","30.0","38.3","1.7",".","",".","1.7","1.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","77","3.395","29.9","28.6","36.4","2.6",".","",".","1.3","1.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","54","3.657","51.9","33.3","11.1","1.9","1.9","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
