"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","12","2.208","8.3","25.0","33.3",".",".",".","33.3",".",".",".",".",".",".",".",".","."
"","002
101","22","3.205","27.3","22.7","31.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","003
101","18","2.472","16.7","11.1","27.8","5.6","11.1","22.2","5.6",".",".",".",".",".",".",".",".","."
"","004
101","21","2.905","28.6","19.0","14.3","9.5","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","005
101","16","2.969","25.0","25.0","25.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","101
008","20","3.275","35.0","20.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","101
010","20","3.053","25.0","15.0","25.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"","012
101","15","3.167","13.3","20.0","60.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","144","2.944","23.6","19.4","29.2","6.9","9.0","6.9","4.2","0.7",".",".",".",".",".",".",".","."
"","102
001","10","3.350","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","2.842","10.5","15.8","42.1","15.8","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","102
003","15","3.133","46.7","6.7","20.0","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","102
004","23","3.174","34.8","21.7","21.7","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","102
005","13","3.231","30.8","38.5","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","006
102","17","3.382","41.2","11.8","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
007","18","3.083","27.8","16.7","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
008","17","3.088","29.4","23.5","17.6","17.6",".","11.8",".",".",".",".",".",".",".",".",".","."
"","010
102","21","2.690","14.3","14.3","19.0","19.0","28.6",".","4.8",".",".",".",".",".",".",".",".","."
"","102
011","11","2.800",".","9.1","54.5","9.1","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","164","3.064","27.4","17.7","25.6","11.0","13.4","1.8","2.4","0.6",".",".",".",".",".",".",".","."
"","203
001","13","3.577","61.5","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
003","9","3.625","55.6","11.1","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"","203
004","20","3.500","35.0","30.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","19","3.417","26.3","26.3","42.1",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Third Semester Italian","Course Total","61","3.508","41.0","23.0","27.9","3.3","1.6",".",".","1.6",".",".",".",".",".","1.6",".","."
"","204
003","9","3.563","44.4","11.1","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","204
004","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","18","3.500","55.6","16.7","16.7",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","19","3.389","21.1","42.1","26.3",".","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"Directed Study","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","9","3.625","55.6",".","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","312
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","322
001","18","3.661","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","9","3.571","44.4","11.1","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","11.1"
"Il Rinascimento","651
001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dante's Divina Commedia","660
001","6","3.875","50.0","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","16.7"
"","699
007","6","3.667","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","3.611","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
