"","999
058","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
067","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
076","4","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
201","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","53","3.960","92.5","3.8","1.9",".",".",".",".",".",".",".","",".","",".","",".",".",".","1.9"
"ART
168","Dept. Total","1953","3.616","56.7","22.5","13.5","2.7","2.6","0.3","0.5","0.6","0.1",".","",".","",".","",".","0.3",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","190","3.252","17.4","40.0","29.5","5.3","4.7","1.1","1.1",".",".",".","",".","",".","",".","0.5",".","0.5"
"Sophomore","","342","3.457","39.5","32.5","18.1","3.8","5.3",".","0.9",".",".",".","",".","",".","",".",".",".","."
"Junior","","373","3.574","51.7","24.9","14.2","3.5","2.4","0.8","0.5","0.8",".",".","",".","",".","",".","0.8",".","0.3"
"Senior","","611","3.656","58.9","20.6","13.6","2.6","2.1","0.2","0.3","1.1",".",".","",".","",".","",".",".",".","0.5"
"Undergraduates","","1516","3.539","47.6","26.8","16.8","3.4","3.2","0.4","0.6","0.7",".",".","",".","",".","",".","0.3",".","0.3"
"Special","","60","3.750","65.0","16.7","8.3","1.7","1.7",".",".","1.7","1.7",".","",".","",".","",".","1.7",".","1.7"
"Graduate","","377","3.953","92.3","6.1","1.1",".",".",".",".","0.3",".",".","",".","",".","",".",".",".","0.3"
"","Dept. Total","1953","3.616","56.7","22.5","13.5","2.7","2.6","0.3","0.5","0.6","0.1",".","",".","",".","",".","0.3",".","0.4"
