"PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","725","3.388","41.5","23.0","18.2","8.3","3.7","",".","0.6","",".","",".","4.4","",".","0.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","193","3.388","38.9","18.1","23.8","11.4","3.1","",".",".","",".","",".","4.7","",".",".","",".",".",".","."
"Sophomore","","126","3.093","24.6","19.0","28.6","19.0","6.3","",".","0.8","",".","",".","1.6","",".",".","",".",".",".","."
"Junior","","175","3.493","48.0","33.7","10.3","3.4","3.4","",".","1.1","",".","",".",".","",".",".","",".",".",".","."
"Senior","","39","3.381","38.5","25.6","12.8","10.3","10.3","",".","2.6","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","533","3.310","38.5","24.0","19.7","10.5","4.5","",".","0.8","",".","",".","2.1","",".",".","",".",".",".","."
"Special","","5","2.800","20.0",".","20.0","40.0","20.0","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","21","3.889","76.2","4.8","9.5",".",".","",".",".","",".","",".",".","",".","9.5","",".",".",".","."
"Prof Yr 1","","95","3.428","33.7","28.4","24.2","2.1","2.1","",".",".","",".","",".","9.5","",".",".","",".",".",".","."
"Prof Yr 2","","57","3.880","68.4","12.3","1.8",".",".","",".",".","",".","",".","17.5","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.833","50.0","25.0",".",".",".","",".",".","",".","",".","25.0","",".",".","",".",".",".","."
"Prof Yr 4","","10","3.885","60.0","30.0",".",".",".","",".",".","",".","",".","10.0","",".",".","",".",".",".","."
"Professionals","","166","3.710","47.6","22.9","14.5","1.2","1.2","",".",".","",".","",".","12.7","",".",".","",".",".",".","."
"","Dept. Total","725","3.388","41.5","23.0","18.2","8.3","3.7","",".","0.6","",".","",".","4.4","",".","0.3","",".",".",".","."
