"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","99","3.864","77.8","18.2","3.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","102","3.917","91.2","6.9","1.0",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","201","3.891","84.6","12.4","2.0","0.5",".",".","0.5",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","59","3.966","94.9","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
Assess Stdts-Special Needs","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Intro-Behav/Emotnl Disablts","001","","83","3.578","41.0","42.2","12.0","3.6",".","1.2",".",".",".",".",".",".",".",".",".","."
"421
Curr&Meth:Behav/Emo Dis,K-9","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"422
Curr&Mth:Behav/Emo Dis,6-12","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"424
Diag&Assess:Std-Bhv/EmtnDis","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Pract:Behavrl/Emotnl Disabl","015","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Young Child-Excpt Ed Needs","001","","38","3.750","76.3","13.2","5.3",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"434
Diag&Assess:Erl Chld Spc Ed","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"435
Pract:Early Chldhd Spec Ed","016","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Intellectual Disabilities","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Diag&Assess:Stdts-Intel Dis","004","","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"445
Prac-Intellect Disabilities","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","27","3.556","40.7","37.0","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Rehab Psych-Occup Aspects","001","","57","3.254","22.8","19.3","50.9","3.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","56","3.482","30.4","39.3","28.6",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"630","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","30","3.841","80.0","10.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","38","3.864","81.6","7.9","2.6","2.6","2.6",".",".",".",".",".",".","2.6",".",".",".","."
"660
Special Topics","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","19","3.970","89.5","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 81 of 375"
