"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","340","006","","18","2.861","27.8","5.6","27.8",".","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"","340","007","","33","3.000","39.4",".","27.3","6.1","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","340","008","","35","2.676","17.1","2.9","37.1","8.6","22.9","2.9","5.7",".",".",".",".",".",".",".",".","2.9"
"","340","009","","22","3.114","27.3","27.3","22.7","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"","340","010","","26","2.615","11.5","11.5","26.9","19.2","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","276","2.849","28.3","8.7","25.4","9.8","16.3","7.2","4.0",".",".",".",".",".",".",".",".","0.4"
"Basic Concepts of Math","371","001","","27","2.942","14.8","11.1","25.9","37.0","7.4",".",".",".",".",".",".",".",".",".",".","3.7"
"Intmed Differential Equatns","419","001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","431","001","","24","2.625","25.0",".","41.7",".","16.7","4.2","12.5",".",".",".",".",".",".",".",".","."
"","431","002","","22","2.886","22.7","18.2","22.7","13.6","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","46","2.750","23.9","8.7","32.6","6.5","15.2","4.3","8.7",".",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","11","2.909","27.3","9.1","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443","001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","9","2.889","33.3","22.2","11.1",".","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","14","3.071","50.0","7.1","14.3","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","","18","3.167","27.8","22.2","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","6","2.500","16.7",".","33.3","33.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","24","3.000","25.0","16.7","25.0","16.7","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","15","3.143","60.0",".","6.7",".","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","10","2.833","30.0",".","30.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".","."
"Modern Algebra","541","001","","20","2.850","25.0","10.0","20.0","10.0","30.0","5.0",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","13","3.167","46.2",".","23.1",".","15.4","7.7",".","7.7",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","17","3.471","29.4","41.2","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","9","3.333","44.4",".","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math-2","704","001","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finite Difference Methods","712","001","","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ordinary Differntl Equatns","716","001","","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","14","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comput Meths-Lg Sparse Sys","733","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","16","3.094","50.0","18.8",".",".","12.5","18.8",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Topology","762","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Theory","771","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Model Theory","776","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 246 of 375",""
