"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"","202
001","42","3.464","38.1","26.2","28.6","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","202
092","22","3.523","36.4","45.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"19&20th C Russn Lit Tran II","Course Total","64","3.488","37.5","32.8","21.9","4.7","3.1",".",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Jew in Russ Lit in Tran","225
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","18","3.705","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240
001","17","2.853","11.8","5.9","58.8",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Polish Culture&Lit(in Tran)","242
001","26","3.596","50.0","26.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","33","2.833","15.2","15.2","33.3","12.1","15.2","9.1",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","001
262","29","3.482","37.9","24.1","27.6","6.9",".",".",".",".",".",".",".",".",".","3.4",".","."
"Survey-Japanese Lit in Tran","264
001","36","3.028","8.3","25.0","44.4","13.9","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"Mod Cen&E Europn Narr/Trans","265
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273
001","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","110","3.227","10.0","39.1","35.5","14.5",".",".",".","0.9",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","102","3.057","3.9","27.5","46.1","17.6","3.9",".",".","1.0",".",".",".",".",".",".",".","."
"German Masterpieces-Tran","276
001","20","3.400","30.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit-US (in Transl)","279
001","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans: Topics-Scand Lit","312
001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Turkish Lit in Translation","323
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","11","3.641","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","410
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Polish Lit(Tran) since 1863","473
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","544","3.288","23.9","30.5","31.1","9.6","3.3","0.9","0.2","0.4",".",".",".",".",".","0.2",".","."
