"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"599","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"830
Advanced Hist of Philosophy","001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Advanced History-Philosophy","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"920
Smr-Philosophy of Science","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Seminar-Ethics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Seminar-Continental Philos","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"951
Seminar-Philosophy of Mind","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Soc-Pol Phil","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"960
Metaphysics Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","40","4.000","45.0",".",".",".",".",".",".","47.5",".",".",".","7.5",".",".",".","."
"992","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Philos of Science","Course Total","","4","***","","","","","","","","","","","","","","","",""
"993
Research in Epistemology","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 264 of 375",""
