"","990
040","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
054","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"Independent Work","999
040","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"E M A
346","Dept. Total","468","2.665","20.3","11.1","20.7","13.7","17.5","9.4","4.9","1.1","",".",".","",".","0.9","",".","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","48","2.177","10.4","12.5","14.6","14.6","18.8","14.6","14.6",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","154","2.518","13.0","7.1","29.9","16.9","15.6","11.0","5.8",".","",".",".","",".",".","",".","0.6",".","."
"Junior","","133","2.718","23.3","14.3","18.0","12.0","18.8","9.8","3.8",".","",".",".","",".",".","",".",".",".","."
"Senior","","93","2.719","19.4","12.9","19.4","14.0","22.6","7.5","2.2","2.2","",".",".","",".",".","",".",".",".","."
"Undergraduates","","428","2.585","17.3","11.2","22.2","14.5","18.5","10.3","5.4","0.5","",".",".","",".",".","",".","0.2",".","."
"Special","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","39","3.680","53.8","10.3","5.1","5.1","5.1",".",".","7.7","",".",".","",".","10.3","",".",".","2.6","."
"","Dept. Total","468","2.665","20.3","11.1","20.7","13.7","17.5","9.4","4.9","1.1","",".",".","",".","0.9","",".","0.2","0.2","."
