"OPERATIONS & TECHNOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","",""
"330","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"330","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"330","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Managerial Economics","Course Total","","6","3.100","16.7","16.7","33.3",".","16.7",".",".",".","16.7",".",".",".",".",".",".","."
"350","001","","101","3.455","29.7","36.6","28.7","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"350","002","","121","3.256","26.4","19.0","39.7","9.1","5.8",".",".",".",".",".",".",".",".",".",".","."
"350","003","","73","3.432","50.7","21.9","11.0","6.8","6.8",".","2.7",".",".",".",".",".",".",".",".","."
"350","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","","297","3.372","34.0","25.6","28.6","7.1","4.0",".","0.7",".",".",".",".",".",".",".",".","."
"365
Contemporary Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","","3","***","","","","","","","","","","","","","","","",""
"411
Operations Research II","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Service Operations Mgmt","001","","13","3.545","23.1","46.2","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"578
Facilities Location Models","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"642
Sim Model&Analy-Ind Eng Sys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Production Planning&Control","001","","20","3.200","25.0","25.0","35.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"711
Operations Research II","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"730","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"730","002","","17","3.647","58.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"730","003","","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","","49","3.633","44.9","38.8","14.3","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"750
Operations Management","001","","42","3.619","50.0","23.8","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Service Operations Managmnt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Intl Operations: Probs&Adm","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"765","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"765","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","16","3.800","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"770
Intro-Qual&Prodtvty Imprvmt","001","","17","3.767","47.1","41.2",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"830
Econ Anal-Bus Decisions","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Plan-Qual/New Servc&Prodct","001","","10","3.833","70.0","10.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"875
Smr-Operations Management","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 64 of 375"
