"","990
048","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
050","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
052","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","24","4.000","91.7",".",".",".",".","",".","",".","8.3","",".",".","",".","",".","",".",".",".","."
"NEUROSCI
682","Dept. Total","","61","3.907","55.7","1.6","3.3",".","1.6","",".","",".","37.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","2","3.750","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","3","3.429","33.3",".","66.7",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","50","3.931","60.0","2.0",".",".","2.0","",".","",".","36.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","","6","4.000","33.3",".",".",".",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","61","3.907","55.7","1.6","3.3",".","1.6","",".","",".","37.7","",".",".","",".","",".","",".",".",".","."
