"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","1","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1","003","","14","3.346","28.6","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".","7.1",".","."
"Workshop in Dance Activity","","Course Total","","32","3.780","65.6","15.6","6.3","9.4",".",".",".",".",".",".",".",".",".","3.1",".","."
"Modern Dance I","11","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Dance Technique II","112","001","","15","3.714","66.7","13.3","6.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Dance Tech for Gen Majors","113","001","","14","3.346","28.6","42.9","7.1","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161","001","","22","3.571","36.4","36.4","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Dance","205","001","","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","21","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","21","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet I","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225","001","","25","3.771","84.0","4.0","4.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Dance Accompaniment-Music","243","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255","001","","13","3.269","38.5","23.1",".","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","19","3.406","57.9","15.8",".",".",".",".","10.5","15.8",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Dance","379","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","41","001","","34","3.741","41.2","35.3","2.9",".",".",".",".","20.6",".",".",".",".",".",".",".","."
"","41","002","","33","3.604","33.3","24.2","12.1","3.0",".",".",".","27.3",".",".",".",".",".",".",".","."
"","41","003","","32","3.891","59.4","9.4","3.1",".",".",".",".","28.1",".",".",".",".",".",".",".","."
"","41","004","","45","3.652","33.3","28.9","11.1",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Ballroom Dancing","","Course Total","","144","3.715","41.0","25.0","7.6","0.7",".",".",".","25.7",".",".",".",".",".",".",".","."
"Ballroom Dance II","42","001","","19","3.938","73.7","10.5",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Ballet Technique IV","425","001","","22","3.952","86.4","9.1",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Advanced Sound Design","430","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","452","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","560","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory&Philosophy of Dance","563","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Video Design","565","001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
