"","990
056","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
057","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
058","6","2.800","16.7",".",".",".","16.7",".",".","16.7",".","",".",".","","50.0",".","",".",".","."
"","990
059","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","126","3.906","50.8","0.8","4.0",".","0.8",".",".","36.5","",".",".","",".","7.1","",".",".",".","."
"BIOCHEM
200","Dept. Total","1032","3.253","39.4","10.2","21.8","6.1","8.1","1.4","1.1","10.6","",".",".","",".","0.9","",".","0.2","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","2.844","19.0","19.0","14.3","14.3","33.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","60","2.847","30.0","6.7","25.0","10.0","20.0","3.3","5.0",".","",".",".","",".",".","",".",".",".","."
"Junior","","170","3.008","31.8","5.3","34.7","8.2","15.3","3.5","1.2",".","",".",".","",".",".","",".",".",".","."
"Senior","","348","3.178","36.5","14.9","27.3","7.2","10.1","1.4","1.7","0.6","",".",".","",".",".","",".","0.3",".","."
"Undergraduates","","599","3.076","33.9","11.5","28.7","8.0","13.4","2.2","1.8","0.3","",".",".","",".",".","",".","0.2",".","."
"Special","","23","3.340","30.4","17.4","30.4","4.3",".","4.3",".",".","",".",".","",".",".","",".","4.3","8.7","."
"Graduate","","400","3.689","47.8","7.8","11.3","3.5","1.0",".",".","26.3","",".",".","",".","2.3","",".",".","0.3","."
"Prof Yr 2","","2","3.750","50.0",".","50.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","3.750","25.0","25.0",".",".",".",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","10","3.846","60.0","10.0","10.0",".",".",".",".","20.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1032","3.253","39.4","10.2","21.8","6.1","8.1","1.4","1.1","10.6","",".",".","",".","0.9","",".","0.2","0.3","."
