"LANGUAGES AND CULTURES O Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","",""
"Elem Hindi-Urdu Intensive","102","001","","7","3.429","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","106","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Sem Pilipino/Tagalog","108","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","116","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","","7","3.593","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","208","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","14","3.321","35.7","28.6","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","","22","3.273","22.7","31.8","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Hindi-Urdu Intensive","302","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Telugu Intensive","304","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Telugu","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Hindi","308","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Hindi","310","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","312","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","314","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","316","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Sanskrit","318","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Sanskrit","320","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Sanskrit","322","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","327","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","332","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhist Iconography","334","001","","10","3.333","30.0","40.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","10.0"
"Fourth Semester Indonesian","338","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Nepali-Intensive","340","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Buddhist Thought","365","001","","22","3.800","59.1","27.3","4.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Elementary Literary Tibetan","376","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semstr Pilipino/Tagalog","397","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thai Poetry I","398","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thought of Gandhi","402","001","","23","3.425","21.7","34.8","26.1","4.3",".",".",".","8.7",".",".",".",".",".",".",".","4.3"
"Sixth Semester Indonesian","404","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urdu Prose Fic-Indian Sub","407","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Nepali","415","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","419","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Language and Culture","430","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","","16","3.255","25.0","18.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Sufism(Islamic Mystc)","444","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Thai","447","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Japn Buddhism 550-1333","455","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
