"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Photography","","Course Total","","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","412","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Art Foundry","414","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","","Course Total","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428","001","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Artists' Books","446","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","","12","3.183","33.3","41.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","448","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","004","","25","3.685","56.0","32.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","448","005","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","007","","10","3.904","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","95","3.692","65.3","20.0","9.5","2.1","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Figure Painting","452","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","506","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","506","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Relief Printmaking","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","522","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Advanced Ceramics I","524","001","","7","3.800","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","","9","3.762","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","14","3.536","14.3","78.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","7","3.350","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","","16","3.531","25.0","68.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Figure Painting I","552","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","13","3.113","46.2","7.7","15.4",".",".",".","15.4",".",".",".",".",".",".",".",".","15.4"
"Adv Graphic Design Technlgy","556","001","","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","","Page 76 of 375"
