"","990
047","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
050","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
055","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
056","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","59","3.949","93.2",".","1.7",".","1.7",".",".",".",".",".","",".","1.7","",".",".",".","1.7"
"PSYCH
820","Dept. Total","4593","2.981","28.3","16.7","19.2","12.1","16.1","4.4","1.9","1.0","0.0",".","",".","0.0","",".","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","837","2.447","8.8","13.3","14.7","16.7","32.5","11.5","2.4",".",".",".","",".",".","",".","0.1",".","."
"Sophomore","","1218","2.874","19.9","18.4","21.9","13.9","19.0","4.4","2.4","0.1",".",".","",".",".","",".","0.2",".","."
"Junior","","1098","3.098","30.0","18.7","22.6","12.6","11.6","2.4","1.5","0.3",".",".","",".",".","",".","0.5",".","."
"Senior","","1136","3.237","38.7","16.7","19.5","8.9","8.9","2.0","1.5","3.3","0.1",".","",".",".","",".","0.2",".","0.2"
"Undergraduates","","4289","2.942","25.3","17.0","20.0","12.8","17.0","4.6","1.9","1.0","0.0",".","",".",".","",".","0.2",".","0.0"
"Special","","65","3.223","47.7","12.3","16.9","4.6","6.2","3.1","4.6","1.5",".",".","",".",".","",".","3.1",".","."
"Graduate","","239","3.813","77.8","11.3","4.2","1.7","2.1",".",".","2.1",".",".","",".","0.4","",".",".",".","0.4"
"","Dept. Total","4593","2.981","28.3","16.7","19.2","12.1","16.1","4.4","1.9","1.0","0.0",".","",".","0.0","",".","0.3",".","0.1"
