"FRENCH (FRENCH AND ITALIAN) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"","284","002","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","","Course Total","","30","3.500","40.0","36.7","13.3","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288","001","","18","3.615","27.8","66.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","302","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311","001","","16","3.845","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","19","3.576","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","23","3.688","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","","Course Total","","42","3.636","40.5","47.6","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","322","002","","21","3.754","57.1","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","003","","19","3.516","36.8","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","","Course Total","","40","3.639","47.5","32.5","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","347","001","","29","3.475","44.8","20.7","20.7","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Civ France:Revolutn-contemp","348","001","","16","3.740","50.0","37.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"French Lit-19th Century","432","001","","20","3.714","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455","001","","24","3.208","33.3","29.2","25.0","4.2",".",".","8.3",".",".",".",".",".",".",".",".","."
"","455","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"French Film","","Course Total","","26","3.231","34.6","26.9","26.9","3.8",".",".","7.7",".",".",".",".",".",".",".",".","."
"Topics in French Literature","461","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","531","001","","12","3.716","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry/Prac-Francophone Drama","595","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Litterature Francaise 16 S","645","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"La Critique Litteraire","671","001","","10","3.938","70.0","10.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"La Poesie Contemporaine","690","001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Thesis","692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"French Lit-14th & 15th C","703","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821","001","","15","3.923","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"Smr: Questions-Litterature","947","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
