"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"100
Great Scientists","001","","90","3.227","16.7","36.7","27.8","10.0","5.6","1.1",".","2.2",".",".",".",".",".",".",".","."
"180
Fr Hon Sm:Hist Sci,Tech,Med","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"202
Making of Modern Science","001","","64","2.887","9.4","25.0","23.4","31.3","3.1",".","4.7","1.6",".",".",".",".",".","1.6",".","."
"205
The Sciences of Man","001","","52","3.343","28.8","25.0","28.8","15.4",".",".",".","1.9",".",".",".",".",".",".",".","."
"222
Technol&Social Chng in Hist","001","","33","3.125","21.2","24.2","24.2","18.2","6.1","3.0",".","3.0",".",".",".",".",".",".",".","."
"322","001","","21","3.143","38.1","19.0","14.3","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"322","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ancient & Medieval Science","Course Total","","22","3.169","40.9","18.2","13.6","9.1","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"324
Science in Enlightenment","001","","17","3.429","41.2","23.5","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","17.6"
"337
History of Technology","001","","11","3.350","27.3","36.4","9.1","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","14","3.417","42.9",".","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","14.3"
"411
Hist of American Technology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"508
Health, Disease&Healing II","001","","10","3.081","30.0","20.0","30.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".","."
"523
Race, Amer Med & Pub Health","001","","17","3.441","35.3","23.5","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"531
Women & Health-Amer History","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Health Iss-Latin Amer:Hist","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Undergrad Smr-Hist of Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Studies-Ancient&Medievl Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"637
Studies-Hist of Technology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Sem-Mod Physical Science","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Smr: Medvl Renaiss&17C Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Smr:Modern Physical Science","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"909
History of Biology&Medicine","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Seminar:Research and Thesis","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950
History of Science Colloq","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","4.000","14.3",".",".",".",".",".",".","78.6",".",".",".","7.1",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 226 of 375",""
