"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","741
002","37","3.597","56.8","5.4","16.2","2.7",".",".","2.7","16.2",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","Course Total","65","3.490","46.2","9.2","15.4","3.1",".","3.1","1.5","21.5",".",".",".",".",".",".",".","."
"","742
001","65","3.479","35.4","16.9","13.8",".","3.1","3.1",".","27.7",".",".",".",".",".",".",".","."
"","742
002","42","3.654","31.0","19.0","11.9",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"Taxation I","Course Total","107","3.532","33.6","17.8","13.1",".","1.9","1.9",".","31.8",".",".",".",".",".",".",".","."
"Administrative Law","744
001","58","3.529","36.2","25.9","25.9",".",".","1.7",".","10.3",".",".",".",".",".",".",".","."
"Legislation","746
001","70","3.541","27.1","21.4","21.4",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Trademarks","749
001","28","3.519","39.3","17.9","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Copyright Law","752
001","30","3.538","40.0","13.3","33.3",".",".",".",".","10.0",".",".",".",".",".",".",".","3.3"
"Role of Police in Free Soc","760
001","35","3.386","48.6","11.4","22.9","2.9","8.6","5.7",".",".",".",".",".",".",".",".",".","."
"Equal Employment Law","765
001","41","3.513","34.1","26.8","31.7",".",".",".",".","7.3",".",".",".",".",".",".",".","."
"Evidence","801
001","32","3.286","43.8","15.6","12.5","3.1",".","9.4","3.1","12.5",".",".",".",".",".",".",".","."
"","802
001","69","3.406","33.3","23.2","37.7","2.9","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","802
002","72","3.468","27.8","11.1","20.8","5.6",".",".",".","34.7",".",".",".",".",".",".",".","."
"","003
802","37","3.405","45.9","13.5","27.0","2.7","5.4","5.4",".",".",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","178","3.425","33.7","16.3","28.7","3.9","1.7","1.7",".","14.0",".",".",".",".",".",".",".","."
"","001
808","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Advocacy","813
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
002","35","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
003","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
006","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","88","3.956","53.4","1.1","2.3",".",".",".",".","43.2",".",".",".",".",".",".",".","."
"Family Law II","001
823","47","3.567","48.9","14.9","27.7","4.3",".",".",".","2.1",".",".",".",".",".",".",".","2.1"
"Federal Jurisdiction","824
001","32","3.548","46.9","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","3.1"
"International Law","827
001","16","3.438","43.8","12.5","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","26","3.500","34.6","7.7","15.4",".",".","3.8",".","38.5",".",".",".",".",".",".",".","."
"Water Rights Law","845
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product Safety Law","847
001","14","3.650","35.7","21.4","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Environ Law & Institutions","848
001","38","3.633","42.1","15.8","21.1",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","850
001","66","3.534","43.9","13.6","28.8",".","3.0",".",".","9.1",".",".",".",".",".",".",".","1.5"
"","850
002","35","3.517","40.0","25.7","17.1",".",".",".","2.9","14.3",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","101","3.530","42.6","17.8","24.8",".","2.0",".","1.0","10.9",".",".",".",".",".",".",".","1.0"
"","852
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","79","3.833","16.5","2.5","1.3",".",".",".",".","79.7",".",".",".",".",".",".",".","."
