"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","193
002","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Downhill Skiing I","Course Total","","34","3.500","11.8","38.2","11.8",".",".",".",".","38.2",".",".",".",".",".",".",".","."
"Orienteering","194
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Cross Country Skiing I","196
001","","8","3.500","25.0","12.5","25.0",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","201
001","","16","3.208","6.3","43.8","6.3","12.5","6.3",".",".","18.8",".",".",".",".",".",".",".","6.3"
"","201
002","","19","3.706","47.4","31.6","10.5",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","201
003","","10","3.300",".","40.0",".","10.0",".",".",".","40.0",".",".",".",".",".","10.0",".","."
"Intermediate Swimming","Course Total","","45","3.471","22.2","37.8","6.7","6.7","2.2",".",".","20.0",".",".",".",".",".","2.2",".","2.2"
"","211
001","","22","3.531","22.7","31.8","18.2",".",".",".",".","18.2",".",".",".",".",".",".",".","9.1"
"","211
002","","18","3.846","50.0","22.2",".",".",".",".",".","27.8",".",".",".",".",".",".",".","."
"","211
003","","17","3.615","29.4","35.3","11.8",".",".",".",".","17.6","5.9",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","57","3.655","33.3","29.8","10.5",".",".",".",".","21.1","1.8",".",".",".",".",".",".","3.5"
"Topics-Adv Fitness Training","230
001","","26","3.250","15.4","19.2","15.4","3.8","7.7",".",".","30.8",".",".",".",".",".",".",".","7.7"
"Weight Training II","232
001","","10","3.400","10.0","20.0","20.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","238
001","","18","3.679","38.9","27.8","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","238
002","","16","3.300",".","56.3","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Golf II","Course Total","","34","3.483","20.6","41.2","23.5",".",".",".",".","14.7",".",".",".",".",".",".",".","."
"Power Skating","244
001","","21","3.318","9.5","23.8","9.5","9.5",".",".",".","47.6",".",".",".",".",".",".",".","."
"","262
001","","19","3.889","36.8","10.5",".",".",".",".",".","52.6",".",".",".",".",".",".",".","."
"","002
262","","15","3.750","53.3","33.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","262
003","","13","3.583","15.4","23.1","7.7",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"","262
004","","14","3.313",".","35.7","21.4",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","61","3.662","27.9","24.6","8.2",".",".",".",".","39.3",".",".",".",".",".",".",".","."
"Racquetball II","001
263","","14","3.727","42.9","28.6","7.1",".",".",".",".","14.3","7.1",".",".",".",".",".",".","."
"Soccer II","273
001","","23","3.567","26.1","21.7","17.4",".",".",".",".","30.4",".",".",".",".",".","4.3",".","."
"","275
001","","19","3.529","47.4","31.6","5.3",".",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"","275
002","","19","3.528","36.8","31.6","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","38","3.529","42.1","31.6","13.2","2.6",".",".","2.6","7.9",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","24","3.167","16.7","25.0","37.5","4.2",".",".","4.2","12.5",".",".",".",".",".",".",".","."
"","295
001","","11","3.563","54.5","9.1",".",".",".","9.1",".","27.3",".",".",".",".",".",".",".","."
"","002
295","","15","3.000","33.3","26.7","6.7",".","6.7",".","13.3","6.7",".",".",".",".",".","6.7",".","."
"Bicycling","Course Total","","26","3.214","42.3","19.2","3.8",".","3.8","3.8","7.7","15.4",".",".",".",".",".","3.8",".","."
"Swim Endur&Stroke Proficncy","301
001","","20","4.000","85.0",".",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","16","3.333","12.5","25.0","37.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","18","3.455",".","55.6","5.6",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","17","3.455","17.6","23.5","23.5",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Lifeguard Training Renewal","313
001","","14","3.107","28.6","14.3","42.9","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","318
002","","12","3.500","33.3","16.7","16.7","8.3",".",".",".","25.0",".",".",".",".",".",".",".","."
"","003
318","","18","3.676","72.2","16.7",".",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Topics in Martial Arts","Course Total","","30","3.615","56.7","16.7","6.7","3.3",".",".","3.3","13.3",".",".",".",".",".",".",".","."
"Triathlon Training","330
001","","23","3.393","30.4","8.7","8.7","4.3","8.7",".",".","34.8","4.3",".",".",".",".",".",".","."
"","362
001","","17","3.500","23.5","29.4","23.5",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","362
002","","17","3.656","47.1","29.4","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 100 of 375",""
