"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","75","2.547","14.7","8.0","18.7","21.3","24.0","10.7","2.7",".",".",".",".",".",".",".",".","."
"","100","002","115","2.513","15.7","5.2","20.9","15.7","30.4","7.8","4.3",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","190","2.526","15.3","6.3","20.0","17.9","27.9","8.9","3.7",".",".",".",".",".",".",".",".","."
"General Geology","101","001","72","2.556","15.3","4.2","25.0","9.7","34.7","11.1",".",".",".",".",".",".",".",".",".","."
"","102","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","9","2.222",".",".","22.2",".","77.8",".",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","13","2.619","7.7","15.4","30.8","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","109","2.537","11.0","11.0","33.9","2.8","24.8","12.8","3.7",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","36","3.125","44.4","11.1","11.1","13.9","11.1","5.6","2.8",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","191","2.758","14.1","3.7","48.2","1.6","25.7","5.2","1.0",".",".",".",".",".",".","0.5",".","."
"Directed Study","199","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geologic Evolution of Earth","201","001","43","2.439","7.0","14.0","14.0","18.6","27.9","11.6","2.3","4.7",".",".",".",".",".",".",".","."
"Continentl Drift&Global Chg","290","001","24","3.104","25.0","12.5","37.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","306","001","214","2.881","13.1","22.9","24.3","17.3","9.8","2.8","3.3","5.6","0.5",".",".",".",".","0.5",".","."
"","306","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems and Precious Stones","","Course Total","217","2.873","13.8","22.6","24.0","17.1","9.7","2.8","3.7","5.5","0.5",".",".",".",".","0.5",".","."
"Landforms-Topics & Regions","326","001","18","3.306","27.8","27.8","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","36","2.868","11.1","25.0","36.1","5.6","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"","376","001","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","376","002","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","36","3.814","86.1","2.8","8.3",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410","001","14","2.714","14.3","14.3","7.1","28.6","35.7",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","20","2.684","10.0",".","40.0","10.0","35.0",".",".","5.0",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430","001","42","2.810","11.9","9.5","50.0",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","18","3.556","27.8","55.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mech Appl-Envr Probs","475","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution of Vertebrates","544","001","32","3.172","34.4","3.1","43.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Geological Oceanography","550","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Geophysics II","592","001","10","3.000","20.0",".","50.0",".","20.0",".",".",".",".",".",".",".",".",".","10.0","."
"Contaminant Hydrogeology","629","001","47","3.096","19.1","10.6","55.3","8.5","2.1","4.3",".",".",".",".",".",".",".",".",".","."
"Physical Sedimentology","630","001","8","3.648","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","692","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Directed Study","698","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 212 of 375",""
