"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"100","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"130
Family & Consumer Newswrtg","001","","11","3.136",".","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"330
Family & Consumer Features","001","","16","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"505
Publications Editing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Publicity Media and Methods","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Publicatn,Illustratn&Layout","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Internship","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"616
Mass Media and Youth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research and Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","70","3.448","32.9","25.7","30.0","5.7",".",".",".",".",".","5.7",".",".",".",".",".","."
