"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Study of Art, Present&Past","101","001","96","3.418","46.9","11.5","28.1","3.1","2.1",".","3.1","4.2",".",".",".",".",".","1.0",".","."
"Ancient and Medieval Art","201","001","124","2.785","22.6","16.9","16.9","19.4","9.7","8.1","5.6","0.8",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","219","3.292","34.2","24.7","21.0","8.2","8.7","0.5","1.4","0.9",".",".",".",".",".",".","0.5","."
"Survey of Asian Art","203","001","24","3.135","20.8","25.0","25.0","8.3","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"W Architecture:Renaiss-Mod","208","001","68","3.185","35.3","16.2","16.2","10.3","14.7","2.9",".","4.4",".",".",".",".",".",".",".","."
"Italian Art: 1250-1400","321","001","49","2.658","12.2","10.2","16.3","20.4","30.6","4.1",".","4.1",".",".",".",".",".","2.0",".","."
"Pnt&Graphc-German 1350-1530","330","001","10","3.300","30.0","10.0","40.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".","."
"Bosch & Holbein to Bruegel","332","001","33","3.233","36.4","15.2","30.3",".","3.0",".","6.1","3.0",".",".",".",".",".","6.1",".","."
"Italian Baroque Art","341","001","40","2.668","10.0","10.0","25.0","22.5","10.0","7.5","2.5","12.5",".",".",".",".",".",".",".","."
"19th C Painting in Europe","350","001","59","3.382","23.7","32.2","33.9","3.4","1.7",".",".","3.4",".",".",".",".",".","1.7",".","."
"20th Century Art in Europe","351","001","76","3.507","38.2","25.0","26.3","1.3",".",".","1.3","7.9",".",".",".",".",".",".",".","."
"Japanese Paint&Woodblk Prnt","375","001","26","3.357","15.4","34.6","30.8","3.8",".",".",".","15.4",".",".",".",".",".",".",".","."
"Afr Art:W Afr Empr-Colonial","378","001","31","3.621","61.3","19.4","6.5","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","19","3.195","31.6","31.6","21.1","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Topic:Afr&Diaspora Art Hist","412","001","24","3.667","50.0","12.5","20.8",".",".",".",".","4.2",".",".",".",".",".","8.3",".","4.2"
"Frank Lloyd Wright","468","001","23","3.108","21.7","17.4","34.8","4.3","8.7","4.3",".","8.7",".",".",".",".",".",".",".","."
"Chinese Figure Painting","472","001","9","2.948",".","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"20th Cent European Art","556","001","16","3.613","43.8","18.8","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Proseminar in American Art","565","001","12","3.667","50.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Mus Train & Connoisseurship","602","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","12","3.817","66.7","16.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".",".","."
"Smr-Ancient Art&Architectr","805","001","12","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","990","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","16","4.000","68.8",".",".",".",".",".",".","6.3",".",".",".","25.0",".",".",".","."
