"L&S","","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5097","2.706","23.6","10.6","22.2","8.8","19.2","8.6","5.1","0.3","",".","1.2","0.0","",".","",".","0.3",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1904","2.544","16.1","9.7","22.9","9.3","23.0","11.0","6.0",".","",".","1.5","0.1","",".","",".","0.4",".","."
"Sophomore","","1592","2.742","23.1","11.0","23.1","8.7","19.7","7.9","4.4","0.1","",".","1.8","0.1","",".","",".","0.2",".","0.1"
"Junior","","758","2.646","22.6","9.8","24.8","10.0","18.1","7.3","6.6","0.3","",".","0.4",".","",".","",".","0.3",".","."
"Senior","","477","2.759","25.6","13.4","21.2","9.9","15.7","8.6","4.8","0.2","",".",".",".","",".","",".","0.4",".","0.2"
"Undergraduates","","4731","2.647","20.4","10.5","23.1","9.3","20.3","9.1","5.5","0.1","",".","1.3","0.0","",".","",".","0.3",".","0.0"
"Special","","51","3.347","41.2","23.5","17.6","5.9","11.8",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","315","3.678","68.9","10.2","10.2","2.2","3.5","1.3",".","3.5","",".",".",".","",".","",".","0.3",".","."
"","Dept. Total","5097","2.706","23.6","10.6","22.2","8.8","19.2","8.6","5.1","0.3","",".","1.2","0.0","",".","",".","0.3",".","0.0"
