"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","138","3.478","52.2","4.3","35.5","2.9","5.1",".",".",".",".",".",".",".",".",".",".","."
"","304
001","20","3.400","50.0","5.0","35.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","304
002","22","3.227","22.7","31.8","27.3","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"","304
003","21","3.548","52.4","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","304
004","22","3.477","36.4","22.7","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
304","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
304","22","3.318","18.2","36.4","40.9",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","124","3.411","35.5","25.0","32.3","4.0","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Biological Interactions","333
001","94","3.707","71.3","1.1","26.6",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","356","3.529","51.4","10.7","32.0","2.5","2.8","0.6",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","56","3.243","30.4","12.5","39.3","12.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","216","3.513","49.1","13.0","32.9","0.9","3.2","0.9",".",".",".",".",".",".",".",".",".","."
"Senior","","83","3.738","72.3","2.4","25.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","355","3.529","51.5","10.4","32.1","2.5","2.8","0.6",".",".",".",".",".",".",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","356","3.529","51.4","10.7","32.0","2.5","2.8","0.6",".",".",".",".",".",".",".",".",".","."
