"EDU","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","27","3.192","29.6","18.5","25.9","11.1","7.4","3.7",".","3.7",".",".",".",".",".",".",".","."
"300","002","","15","3.538","26.7","40.0","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"300","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","37","3.851","73.0","24.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","103","3.650","56.3","24.3","10.7","2.9","1.9","1.0",".","2.9",".",".",".",".",".",".",".","."
"412
History-American Education","001","","42","3.146","35.7","11.9","23.8","7.1","14.3","4.8",".","2.4",".",".",".",".",".",".",".","."
"460
Cultural Pluralsm&Ed Policy","001","","30","3.310","10.0","50.0","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".","3.3"
"539
Public Sector Bargaining","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Philos Concepts-Tch&Learng","001","","16","3.600","37.5","37.5","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"560
Educ&Sex Role Socialization","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Reading","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"818
Continuing Ed Pol-Higher Ed","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Theories-Soc & Ed Change","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906
Prosem-History of Education","001","","8","3.705","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","12","3.850","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"955
Smr-Qualitative Methodology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Smr-Compar Ed: Area Studies","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","26","3.890","38.5","3.8","3.8",".",".",".",".","26.9","3.8",".",".","23.1",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
