"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","21","2.667","4.8","14.3","38.1","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","002
211","","28","2.768","17.9","14.3","32.1","3.6","17.9","14.3",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","49","2.724","12.2","14.3","34.7","8.2","18.4","12.2",".",".",".",".",".",".",".",".",".","."
"","250
001","","31","2.790","12.9","16.1","32.3","12.9","19.4","3.2","3.2",".",".",".",".",".",".",".",".","."
"","002
250","","26","2.885","26.9","15.4","26.9","7.7","11.5","3.8","7.7",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","57","2.833","19.3","15.8","29.8","10.5","15.8","3.5","5.3",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
002","","58","2.534","12.1","20.7","13.8","6.9","31.0","12.1","3.4",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","50","2.730","24.0","12.0","18.0","6.0","30.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"","324
002","","9","2.944","11.1","33.3","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","003
324","","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","12","3.167","33.3","25.0","8.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","41","3.244","29.3","24.4","26.8","4.9","14.6",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
002","","50","2.800","8.0","14.0","52.0","10.0","8.0","2.0","6.0",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","54","3.085","22.2","22.2","25.9","13.0","11.1","3.7",".",".",".",".",".",".",".","1.9",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","58","2.905","22.4","12.1","19.0","17.2","29.3",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","61","3.617","44.3","34.4","18.0","1.6",".",".",".",".",".",".",".",".",".","1.6",".","."
"Process Dynamics & Control","470
001","","61","3.082","14.8","29.5","29.5","16.4","6.6","3.3",".",".",".",".",".",".",".",".",".","."
"Electrochem Energy Generatn","507
001","","23","3.144","30.4","17.4","21.7","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","535
001","","19","3.806","57.9","36.8",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540
001","","41","3.250","24.4","24.4","29.3","14.6","4.9",".",".",".",".",".",".",".",".","2.4",".","."
"","562
001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"","002
562","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","31","3.685","64.5","22.6","9.7",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"Food Process Engineering","565
001","","40","2.925","15.0","12.5","40.0","7.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","599
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","12","3.942","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","50","3.926","88.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
