"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","202","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.570","41.2","23.5","29.4",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Smr-Japanese Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
