"","990
010","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
013","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis Research","Course Total","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7","",".",".",".","."
"E ASIAN
295","Dept. Total","500","3.298","38.2","20.2","18.8","6.2","4.2","1.8","1.2","8.4",".","0.2",".","0.6","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","2.942","28.3","13.0","28.3","13.0","10.9","2.2","4.3",".",".",".",".",".","",".",".",".","."
"Sophomore","","62","2.997","19.4","19.4","35.5","16.1","4.8","3.2","1.6",".",".",".",".",".","",".",".",".","."
"Junior","","117","3.258","30.8","26.5","23.9","4.3","4.3","2.6","0.9","6.8",".",".",".",".","",".",".",".","."
"Senior","","153","3.383","41.2","20.3","15.7","5.9","5.2","2.0",".","9.2",".",".",".","0.7","",".",".",".","."
"Undergraduates","","378","3.203","32.8","21.2","23.0","7.9","5.6","2.4","1.1","5.8",".",".",".","0.3","",".",".",".","."
"Special","","22","3.597","54.5","22.7",".","4.5",".",".","4.5","9.1",".",".",".",".","",".","4.5",".","."
"Graduate","","99","3.774","55.6","16.2","6.1",".",".",".","1.0","18.2",".","1.0",".","2.0","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","500","3.298","38.2","20.2","18.8","6.2","4.2","1.8","1.2","8.4",".","0.2",".","0.6","",".","0.2",".","."
