"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"299
Independent Study","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"362
Development of Young Child","001","","154","2.863","15.6","14.9","29.2","17.5","17.5","3.2","1.3",".",".",".",".",".",".","0.6",".","."
"363","001","","43","3.345","16.3","53.5","23.3",".","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"363","002","","166","3.304","17.5","35.5","40.4","2.4","1.2","0.6","0.6","1.8",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","","209","3.312","17.2","39.2","36.8","1.9","1.4","0.5","1.0","1.9",".",".",".",".",".",".",".","."
"366
Family Relationships","001","","193","3.036","15.0","19.7","39.9","14.5","7.8","1.6","1.0",".",".",".",".",".",".","0.5",".","."
"460
Intellect Develop&Preschool","001","","35","3.800","71.4","20.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"461
Soc&Emotnl Dev-Early Educ","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"463
Teaching Laboratory","001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","45","3.911","91.1","4.4","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","30","3.583","50.0","33.3","6.7","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"474","001","","33","3.339","18.2","48.5","18.2","3.0","3.0","3.0",".","6.1",".",".",".",".",".",".",".","."
"474","002","","33","3.803","69.7","21.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","Course Total","","66","3.578","43.9","34.8","13.6","1.5","1.5","1.5",".","3.0",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","29","3.130","24.1","27.6","13.8","10.3","13.8","3.4",".","3.4",".",".",".",".",".","3.4",".","."
"564
Early Child Ed Tchg Practcm","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"565
Preschool Stdt Teacher Smr","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"566
Sr Seminar-Chld&Fam Studies","001","","17","3.235","17.6","58.8","11.8",".",".","11.8",".",".",".",".",".",".",".",".",".","."
"601","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.942","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Childhood and the Family","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"766","001","","13","3.833","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"766","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"766","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","33","3.780","66.7","27.3",".","3.0",".",".",".",".",".",".",".",".",".",".",".","3.0"
"841
Educ Role-Fam-Early Chd Dev","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 142 of 375",""
