"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"608
Interdis Critiq-Visual Arts","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Advanced Drawing II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Advanced Sculpture II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","002","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","","17","3.765","76.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"624
Advanced Ceramics II","001","","10","3.870","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"632
Advanced Life Drawing II","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"644
Advanced Art Metal II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"674","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"674","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","10","3.864","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","7","3.588","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","7","3.909","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","28.6"
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","129","3.897","84.5","9.3","2.3","0.8","1.6",".",".",".",".",".",".",".",".",".",".","1.6"
"718
Art Performance","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"736
Grad Graphics Workshop I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Grad Intaglio Printmakng II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"908","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"908","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"908","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 77 of 375"
