"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Teaching Japanese","208
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Tching French","246
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Tching German","247
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","290
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","290
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","50","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrt/Spk/Lstn-Mid/Sec Curric","313
001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","322
001","","22","3.864","90.9",".","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","Course Total","","42","3.929","95.2",".","2.4",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Secndry Schl","334
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrumental Music-Sec","336
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of German","347
201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","64","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","358
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","358
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
364","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Educ:Preschl-Mid Schl","Course Total","","54","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","71","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
