"","990
017","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
020","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
022","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","12","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"PHYSIOL
762","Dept. Total","165","3.622","66.1","1.2","32.1",".","",".","",".","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","3.000",".",".","100.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","4","3.538","75.0",".","25.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","3","2.667","66.7",".",".",".","",".","",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","22","3.676","77.3","9.1","13.6",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","136","3.640","64.0",".","36.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","136","3.640","64.0",".","36.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","165","3.622","66.1","1.2","32.1",".","",".","",".","0.6","",".","",".",".","",".","",".","",".",".",".","."
