"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"","201","001","348","3.065","23.3","21.0","25.3","12.1","13.8","2.9","0.6","0.3","0.3",".",".",".",".","0.6",".","."
"","201","002","102","3.260","21.6","35.3","24.5","14.7","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","","Course Total","450","3.110","22.9","24.2","25.1","12.7","11.1","2.7","0.4","0.2","0.2",".",".",".",".","0.4",".","."
"Reporting","204","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205","001","15","3.467","46.7","26.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","205","002","11","2.909","9.1","18.2","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","205","003","12","3.083","16.7","33.3","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","205","004","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205","005","15","3.679","66.7","13.3",".","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","65","3.336","35.4","24.6","23.1","7.7","6.2",".","1.5","1.5",".",".",".",".",".",".",".","."
"","230","001","11","3.182","27.3","9.1","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","230","002","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","230","003","10","3.150","30.0","20.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","30","3.217","30.0","16.7","30.0","13.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","232","3.024","19.8","19.8","31.5","9.1","16.8","1.7","0.9","0.4",".",".",".",".",".",".",".","."
"Effects-Mass Communication","265","001","337","3.293","16.9","41.2","30.0","8.0","2.7",".","0.6",".",".",".",".",".",".","0.6",".","."
"Reporting of Public Affairs","301","001","13","3.385","23.1","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Foreign Reporting/Editing","303","001","9","3.000","11.1","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","001","15","3.267","13.3","46.7","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","305","001","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication Graphics","311","001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Technology Journ","315","001","14","3.321","14.3","42.9","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","325","001","64","3.477","29.7","45.3","17.2","6.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"","325","002","22","3.524","36.4","31.8","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Public Relations Practices","","Course Total","86","3.488","31.4","41.9","18.6","5.8","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Intro to Broadcast News","351","001","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","16","3.250","25.0","31.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","446","001","93","2.995","20.4","20.4","18.3","23.7","11.8","2.2","1.1","2.2",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450","001","53","3.236","20.8","22.6","41.5","13.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Advertising Copy&Layout","451","001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454","001","23","3.500","34.8","30.4","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459","001","50","3.347","22.0","42.0","26.0","6.0",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"Publicity Media and Methods","515","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","40","3.413","20.0","50.0","25.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","25","3.420","40.0","20.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","002","109","2.587","9.2","9.2","24.8","20.2","29.4","6.4","0.9",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","56","3.009","7.1","28.6","44.6","5.4","8.9","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Mass Communication&Society","561","001","25","3.435","28.0","36.0","20.0","4.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"Mass Media and Minorities","562","001","24","2.913","16.7","4.2","37.5","20.8","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"","575","001","27","3.704","55.6","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","043","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","049","20","3.527","35.0","40.0","10.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 234 of 375",""
