"Reading and Research","890
004","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
003","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
452","Dept. Total","125","3.425","18.4","8.8","13.6","1.6","",".","0.8","",".","56.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","13","3.038","7.7","7.7","69.2","15.4","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","23","3.419","34.8","26.1","30.4",".","",".","4.3","",".","4.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","37","3.286","24.3","21.6","43.2","5.4","",".","2.7","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","12","3.979","75.0","8.3",".",".","",".",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","68","",".",".",".",".","",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","6","3.857","83.3","16.7",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","75","3.600","6.7","1.3","1.3",".","",".",".","",".","90.7","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","125","3.425","18.4","8.8","13.6","1.6","",".","0.8","",".","56.8","",".",".","",".","",".","",".",".",".","."
