"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chemistry","103
001","251","2.826","23.1","10.0","27.9","8.0","22.7","5.2","2.8",".",".",".",".",".",".","0.4",".","."
"","104
001","258","2.952","26.4","8.9","31.8","8.5","19.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"","002
104","322","2.712","13.0","16.8","20.5","17.1","24.5","6.2","1.6",".",".",".",".",".",".","0.3",".","."
"","104
003","348","3.527","48.6","24.7","17.0","6.0","2.6","0.9","0.3",".",".",".",".",".",".",".",".","."
"","104
004","318","2.643","12.6","12.6","32.1","14.8","12.9","11.0","4.1",".",".",".",".",".",".",".",".","."
"","005
104","203","2.411","12.3","6.4","14.8","9.4","46.3","7.9","2.5",".",".",".",".",".",".","0.5",".","."
"General Chemistry","Course Total","1449","2.894","23.7","14.9","23.4","11.3","18.9","5.5","2.1",".",".",".",".",".",".","0.1",".","."
"General Chemistry","108
001","75","2.831","34.7","8.0","14.7","9.3","20.0","5.3","6.7","1.3",".",".",".",".",".",".",".","."
"","110
001","103","3.262","43.7","19.4","15.5","9.7","5.8","1.0","4.9",".",".",".",".",".",".",".",".","."
"","110
002","119","3.231","33.6","26.1","24.4","5.0","3.4","5.0","2.5",".",".",".",".",".",".",".",".","."
"Gen & Analytical Chem II","Course Total","222","3.245","38.3","23.0","20.3","7.2","4.5","3.2","3.6",".",".",".",".",".",".",".",".","."
"Chemical Principles II","116
001","32","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Chemistry","221
001","88","2.902","15.9","18.2","30.7","10.2","20.5","1.1","2.3","1.1",".",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","10","3.885","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry","343
001","201","2.803","18.4","15.4","28.9","3.0","26.4","6.0","2.0",".",".",".",".",".",".",".",".","."
"","344
001","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
002","16","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
344","17","3.500","41.2","17.6","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","15","3.300","26.7","13.3","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
344","18","3.333","33.3","5.6","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","007
344","18","3.389","33.3","27.8","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
008","18","3.417","27.8","27.8","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
009","18","3.333","27.8","33.3","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
010","17","3.235","29.4","29.4","29.4","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","344
011","17","3.176","17.6","11.8","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
012","18","3.382","27.8","27.8","27.8","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","344
013","16","3.531","50.0","18.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","014
344","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","015
344","16","3.438","31.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","016
344","18","3.389","33.3","22.2","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
017","15","3.367","46.7","20.0","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","344
018","14","3.071","21.4","14.3","42.9",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","344
019","14","3.357","35.7","7.1","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
022","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","023
344","16","3.344","31.3","31.3","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","344
024","18","3.528","44.4","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","16","3.500","43.8","12.5","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 171 of 375",""
