"Summary by College/School","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"L&S","Grades","GPA","","","","","","","","","","","","","","","","",""
"","1","",".",".",".",".",".",".",".",".",".","100.0",".",".","",".",".",".","."
"Freshmen","13533","2.822","18.1","18.5","25.4","11.8","15.8","5.7","2.8","0.0",".","1.4","0.1",".","",".","0.3","0.0","0.0"
"Sophomore","19298","3.079","26.2","21.5","25.5","9.9","11.0","2.8","1.6","0.1",".","1.2","0.1",".","",".","0.2","0.0","0.1"
"Junior","17212","3.112","29.2","20.8","24.7","9.8","9.8","2.4","1.9","0.4","0.0","0.8","0.0",".","",".","0.3","0.0","0.1"
"Senior","18371","3.171","31.9","20.3","22.3","9.3","8.8","2.3","1.4","2.4","0.0","0.7","0.0","0.0","",".","0.3","0.0","0.2"
"Undergraduates","68414","3.057","26.9","20.4","24.4","10.1","11.0","3.1","1.8","0.8","0.0","1.0","0.0","0.0","",".","0.3","0.0","0.1"
"Special","1283","3.445","42.2","17.3","11.6","3.3","4.0","1.1","1.3","11.1",".","6.0","0.3","0.1","",".","0.4","0.6","0.8"
"Graduate","9864","3.782","59.7","15.0","6.7","0.9","0.6","0.1","0.1","12.6","0.1","1.7","0.0","1.8","",".","0.1","0.1","0.6"
"Prof Yr 1","13","3.767","53.8","23.1","7.7",".",".",".",".","7.7",".",".",".",".","",".","7.7",".","."
"Prof Yr 2","28","3.390","46.4","28.6","10.7","3.6","3.6",".","3.6","3.6",".",".",".",".","",".",".",".","."
"Prof Yr 3","27","3.674","55.6","14.8","11.1",".","3.7",".",".","14.8",".",".",".",".","",".",".",".","."
"Prof Yr 4","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","70","3.574","52.9","21.4","10.0","1.4","2.9",".","1.4","8.6",".",".",".",".","",".","1.4",".","."
