"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","152","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Medicine II","622
001","81","2.605","2.5","2.5","49.4","7.4","37.0","1.2",".",".",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","81","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","670
001","51","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"","670
201","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","54","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","671
001","28","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"","002
671","26","4.000","19.2",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","."
"","671
003","15","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","671
004","20","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","671
005","36","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","671
201","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","671
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Small Animl Med","Course Total","129","4.000","48.1",".",".",".",".",".",".","51.9",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","53","4.000","26.4",".",".",".",".",".",".","73.6",".",".",".",".",".",".",".","."
"","675
001","62","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
006","14","4.000","35.7",".",".",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"","675
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
675","38","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"","675
009","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"","675
010","73","3.541","27.4","53.4","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
011","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","675
201","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","224","3.662","18.3","17.4","6.3",".",".",".",".","58.0",".",".",".",".",".",".",".","."
"Sr Rotation:Swine Medicine","676
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Exotic Animal Medicine","677
001","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","699
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Study","Course Total","17","4.000","64.7",".",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 368 of 375",""
