"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","12","2.750","16.7","8.3","25.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","2.553","15.0","5.0","25.0","10.0","30.0","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"","003
102","18","3.306","22.2","50.0","22.2",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","102
004","23","3.614","47.8","30.4","8.7","8.7",".",".",".",".",".",".",".",".",".","4.3",".","."
"","102
005","18","3.306","11.1","50.0","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.219","12.5","56.3","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","107","3.157","22.4","33.6","21.5","6.5","10.3","0.9","2.8","0.9",".",".",".",".",".","0.9",".","."
"","001
104","22","3.386","27.3","36.4","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","104
002","21","3.476","23.8","57.1","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","104
003","23","3.348","17.4","47.8","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","104
004","20","3.368","20.0","35.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","86","3.394","22.1","44.2","25.6","3.5","3.5",".",".","1.2",".",".",".",".",".",".",".","."
"","112
001","15","3.464","26.7","46.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","112
002","18","3.324","27.8","27.8","16.7","22.2",".",".",".","5.6",".",".",".",".",".",".",".","."
"","112
003","22","2.725","9.1","18.2","40.9","4.5",".","13.6","4.5","9.1",".",".",".",".",".",".",".","."
"","112
004","20","2.921","5.0","20.0","35.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"","112
005","21","3.381","23.8","42.9","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","22","3.238","13.6","31.8","40.9","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","112
007","17","3.294","23.5","23.5","47.1",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","112
008","24","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","112
009","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","112
010","20","3.368","35.0","25.0","15.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Drawing I","Course Total","189","3.220","20.6","29.1","30.2","10.1","4.2","1.6","0.5","3.2",".",".",".",".",".",".",".","0.5"
"Current Directions in Art","001
208","82","3.556","46.3","31.7","13.4","2.4","3.7","1.2",".",".",".",".",".",".",".","1.2",".","."
"","001
212","22","3.500","40.9","40.9","4.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
212","16","3.531","56.3","18.8","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","212
003","23","3.435","21.7","47.8","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","20","3.368","30.0","20.0","35.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Drawing II","Course Total","81","3.456","35.8","33.3","19.8","4.9","4.9",".",".","1.2",".",".",".",".",".",".",".","."
"Sculpture I","214
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","18","3.389","16.7","50.0","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","18","3.056","16.7","11.1","55.6",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","222
004","18","3.029","11.1","11.1","50.0","16.7","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"Introduction to Painting","Course Total","68","3.261","17.6","33.8","35.3","5.9","5.9",".",".",".",".",".",".",".",".","1.5",".","."
"","224
001","19","3.500","21.1","52.6","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","224
002","23","3.826","82.6",".","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","27","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","69","3.721","63.8","14.5","20.3",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"","001
232","12","3.773","58.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","232
002","15","3.464","20.0","46.7","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","232
003","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","232
004","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","49","3.649","46.9","34.7","12.2",".","2.0",".",".","2.0",".",".",".",".",".","2.0",".","."
