"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","231","3.013","24.7","15.2","24.2","17.7","14.7","3.0","0.4",".",".",".",".",".",".",".",".","."
"","104","001","276","2.975","17.0","20.7","24.3","19.2","17.4","1.4",".",".",".",".",".",".",".",".",".","."
"","104","002","173","3.000","20.2","18.5","23.7","22.0","12.1","2.3","0.6","0.6",".",".",".",".",".",".",".","."
"General Physics","","Course Total","449","2.984","18.3","19.8","24.1","20.3","15.4","1.8","0.2","0.2",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","160","2.991","19.4","15.0","31.3","15.6","18.1",".","0.6",".",".",".",".",".",".",".",".","."
"","109","001","96","3.135","14.6","18.8","55.2","8.3","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","109","002","99","3.146","18.2","18.2","50.5","9.1","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","195","3.141","16.4","18.5","52.8","8.7","1.5","0.5","1.5",".",".",".",".",".",".",".",".","."
"","201","001","139","2.835","18.0","9.4","28.8","10.8","32.4","0.7",".",".",".",".",".",".",".",".",".","."
"","201","002","149","2.792","16.8","12.1","22.8","13.4","33.6","0.7","0.7",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","288","2.813","17.4","10.8","25.7","12.2","33.0","0.7","0.3",".",".",".",".",".",".",".",".","."
"","202","001","137","2.931","13.9","16.8","29.2","23.4","16.1","0.7",".",".",".",".",".",".",".",".",".","."
"","202","002","172","2.807","11.6","15.1","23.8","25.6","21.5","1.2","0.6",".",".",".",".",".",".",".",".","0.6"
"General Physics","","Course Total","309","2.862","12.6","15.9","26.2","24.6","19.1","1.0","0.3",".",".",".",".",".",".",".",".","0.3"
"Mod Physics for Engineers","205","001","38","2.724","13.2","15.8","21.1","7.9","39.5","2.6",".",".",".",".",".",".",".",".",".","."
"General Physics","207","001","135","3.004","14.1","15.6","44.4","13.3","10.4",".","1.5",".",".",".",".",".",".","0.7",".","."
"General Physics","208","001","169","2.769","18.3","16.6","16.0","17.8","24.3","4.7","2.4",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","26","2.846","19.2","11.5","26.9","11.5","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","97","2.500","10.3","9.3","15.5","14.4","45.4","3.1","2.1",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301","001","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","308","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","308","004","12","3.333","25.0","16.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","15","3.333","26.7","13.3","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","29","3.690","55.2","34.5","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321","001","20","3.000","20.0","25.0","25.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".","5.0"
"Electromagnetic Fields","322","001","24","3.875","87.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325","001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371","001","8","3.313","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","16","2.688","18.8","12.5","25.0","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","499","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","3.816","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
