"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","328","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","003","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","004","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","56","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"The Structure of English","329","001","","42","3.607","61.9","16.7","9.5","4.8","7.1",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","330","001","","32","3.516","34.4","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".","3.1",".","."
"Studies in Interlanguage","332","001","","21","3.548","42.9","23.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Lang Learning","333","001","","28","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334","001","","25","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Techniques & Materials","335","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linguistics & Lit Study","339","002","","6","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Research Methods in English","382","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spenser","405","001","","41","2.688","24.4","2.4","24.4","9.8","26.8","4.9","4.9","2.4",".",".",".",".",".",".",".","."
"Shakespeare","418","001","","39","2.923","20.5","10.3","30.8","20.5","15.4",".","2.6",".",".",".",".",".",".",".",".","."
"English Lit, 1745-1798","445","001","","54","3.074","7.4","29.6","42.6","11.1","9.3",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","45","3.151","17.8","6.7","57.8","13.3",".",".",".",".",".",".",".",".",".","2.2",".","2.2"
"Maj Brit Novelists-1914-45","501","001","","29","2.948","13.8","31.0","34.5","6.9",".","10.3","3.4",".",".",".",".",".",".",".",".","."
"Ford Madox Ford&Contemporys","504","001","","36","3.222","13.9","44.4","27.8","11.1",".",".","2.8",".",".",".",".",".",".",".",".","."
"Select Major Modern Poets I","509","007","","28","2.857","14.3","32.1","21.4","3.6","17.9","7.1","3.6",".",".",".",".",".",".",".",".","."
"Recent British/Amer Fiction","511","008","","42","3.410","33.3","33.3","16.7","4.8","2.4",".","2.4","7.1",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","563","001","","64","2.344","9.4","7.8","31.3","10.9","15.6","6.3","14.1","1.6",".",".",".",".",".",".",".","3.1"
"Topic-Women Writng&Fem Thry","574","001","","31","2.968","22.6","9.7","32.3","16.1","16.1","3.2",".",".",".",".",".",".",".",".",".","."
"","591","001","","44","3.360","20.5","40.9","27.3","6.8","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"","591","004","","37","2.892","10.8","13.5","37.8","29.7","2.7","5.4",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","81","3.144","16.0","28.4","32.1","17.3","2.5","2.5",".","1.2",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","","33","3.313","27.3","21.2","36.4","9.1","3.0",".",".",".",".",".",".",".",".","3.0",".","."
"Major American Prose Writer","611","001","","31","3.242","22.6","22.6","38.7","12.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Voices of American Humor","612","001","","69","3.394","24.6","37.7","30.4",".",".","2.9",".","2.9",".",".",".",".",".",".",".","1.4"
"Major American Poets","613","001","","32","2.952","18.8","25.0","28.1","9.4","6.3","3.1","6.3","3.1",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","33","3.121","15.2","42.4","27.3","6.1",".","6.1","3.0",".",".",".",".",".",".",".",".","."
"American Literary Realism","629","001","","31","3.274","22.6","29.0","29.0","19.4",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Amer Lit","630","001","","40","3.488","52.5","25.0","15.0","2.5",".",".","5.0",".",".",".",".",".",".",".",".","."
"Maj Amer Novelists-1914-45","635","001","","37","3.149","21.6","29.7","29.7","10.8",".","8.1",".",".",".",".",".",".",".",".",".","."
"","682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 201 of 375",""
