"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Civilizat of Ancient Greece","320
001","84","3.211","26.2","22.6","34.5","7.1","6.0",".","2.4",".",".","",".",".","",".","",".","","1.2",".","."
"Classical Mythology","370
001","381","3.430","38.3","32.8","17.3","2.6","3.1","2.9","0.8","1.6",".","",".",".","",".","",".","","0.3","0.3","."
"Civilization-Ancient Egypt","375
001","84","2.975","21.4","14.3","19.0","23.8","14.3","2.4",".","4.8",".","",".",".","",".","",".","",".",".","."
"Intmed Ancient Egypt Lang","407
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Roman Archaeology","436
001","49","2.969","24.5","8.2","26.5","22.4","14.3",".","2.0","2.0",".","",".",".","",".","",".","",".",".","."
"Roman Archaeology Tutorial","456
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","699
003","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
010","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
018","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"CLASSICS
244","Dept. Total","622","3.314","34.4","26.4","20.3","7.6","5.8","2.1","1.0","2.1","",".",".","",".","",".","",".","0.3","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","147","3.234","23.8","34.7","27.9","3.4","3.4","3.4","2.0","0.7","",".",".","",".","",".","",".","0.7",".","."
"Sophomore","","197","3.308","35.5","26.9","17.8","8.1","7.6","2.5","0.5",".","",".",".","",".","",".","",".","0.5","0.5","."
"Junior","","120","3.333","40.8","20.8","17.5","10.0","8.3","0.8","0.8","0.8","",".",".","",".","",".","",".",".",".","."
"Senior","","148","3.394","37.8","23.0","19.6","9.5","4.1","1.4",".","4.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","612","3.315","34.3","26.6","20.6","7.7","5.9","2.1","0.8","1.5","",".",".","",".","",".","",".","0.3","0.2","."
"Special","","3","3.750","33.3","33.3",".",".",".",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","7","3.000","42.9",".",".",".",".",".","14.3","42.9","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","622","3.314","34.4","26.4","20.3","7.6","5.8","2.1","1.0","2.1","",".",".","",".","",".","",".","0.3","0.2","."
