"","990
076","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
077","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","39","3.988","79.5","2.6",".",".",".",".",".","12.8","",".",".","",".","5.1","",".",".",".","."
"Advanced Independent Study","999
048","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"PHM SCI
718","Dept. Total","904","3.172","33.4","15.4","26.0","10.7","10.1","1.7","0.4","1.9","",".",".","",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","294","2.970","16.3","16.0","31.0","17.7","17.7","1.0",".","0.3","",".",".","",".",".","",".",".",".","."
"Sophomore","","304","3.188","25.3","19.4","36.8","9.5","6.6","1.6","0.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","11","3.296","36.4","9.1","45.5","9.1",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","126","2.946","27.0","19.8","19.0","11.9","15.1","5.6","1.6",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","735","3.052","22.2","18.0","31.6","13.2","12.4","2.0","0.5","0.1","",".",".","",".",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","165","3.945","81.8","4.2","1.8",".",".",".",".","9.7","",".",".","",".","2.4","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","904","3.172","33.4","15.4","26.0","10.7","10.1","1.7","0.4","1.9","",".",".","",".","0.4","",".",".",".","."
