"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","140","3.102","19.3","20.7","24.3","22.9","7.1","0.7",".","3.6",".",".",".",".",".","0.7",".","0.7"
"Real Estate Law","312","001","24","3.104","16.7","25.0","29.2","20.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"","399","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Valuation of Real Estate","415","002","28","3.593","35.7","50.0","7.1",".","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"International Real Estate","430","001","6","3.200","16.7",".","66.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Residentl Property Devlpmnt","611","001","40","3.645","45.0","35.0","12.5","2.5",".",".",".","5.0",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631","001","20","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"The Real Estate Process","706","001","15","3.233","6.7","46.7","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712","001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740","001","23","3.643","34.8","47.8","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Land Use Controls on Bus","745","001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Appraisal Theory & Prac","755","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870","001","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Urban Land Economics","875","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","116","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
